record_id,canton_code,canton_name,report_month,as_of_date,tax_year,planned_monthly_chf,actual_receipt_chf,status,delivery_channel,reported_at,is_synthetic
SYN-AG-202201,AG,Aargau,2022-01-01,2026-08-12,2022,92400000.00,90552000.00,final,manual_csv,2022-02-05T08:30:00+01:00,true
SYN-AG-202202,AG,Aargau,2022-02-01,2026-08-12,2022,95550000.00,94498950.00,final,manual_csv,2022-03-05T08:30:00+01:00,true
SYN-AG-202203,AG,Aargau,2022-03-01,2026-08-12,2022,107100000.00,104636700.00,final,manual_csv,2022-04-05T08:30:00+02:00,true
SYN-AG-202204,AG,Aargau,2022-04-01,2026-08-12,2022,99750000.00,98353500.00,final,manual_csv,2022-05-05T08:30:00+02:00,true
SYN-AG-202205,AG,Aargau,2022-05-01,2026-08-12,2022,109200000.00,108654000.00,final,manual_csv,2022-06-05T08:30:00+02:00,true
SYN-AG-202206,AG,Aargau,2022-06-01,2026-08-12,2022,115500000.00,113536500.00,final,manual_csv,2022-07-05T08:30:00+02:00,true
SYN-AG-202207,AG,Aargau,2022-07-01,2026-08-12,2022,100800000.00,99993600.00,final,manual_csv,2022-08-05T08:30:00+02:00,true
SYN-AG-202208,AG,Aargau,2022-08-01,2026-08-12,2022,105000000.00,102900000.00,final,manual_csv,2022-09-05T08:30:00+02:00,true
SYN-AG-202209,AG,Aargau,2022-09-01,2026-08-12,2022,113400000.00,112152600.00,final,manual_csv,2022-10-05T08:30:00+02:00,true
SYN-AG-202210,AG,Aargau,2022-10-01,2026-08-12,2022,117600000.00,114895200.00,final,manual_csv,2022-11-05T08:30:00+01:00,true
SYN-AG-202211,AG,Aargau,2022-11-01,2026-08-12,2022,103950000.00,102494700.00,final,manual_csv,2022-12-05T08:30:00+01:00,true
SYN-AG-202212,AG,Aargau,2022-12-01,2026-08-12,2022,99750000.00,99251250.00,final,manual_csv,2023-01-05T08:30:00+01:00,true
SYN-AG-202301,AG,Aargau,2023-01-01,2026-08-12,2023,95634000.00,94199490.00,final,manual_csv,2023-02-05T08:30:00+01:00,true
SYN-AG-202302,AG,Aargau,2023-02-01,2026-08-12,2023,98894250.00,98300884.50,final,manual_csv,2023-03-05T08:30:00+01:00,true
